SITEVISITID,ISLAND,SITE,REEF_ZONE,LATITUDE,LONGITUDE,DEPTH,DEPTH_BIN,DATE_,OBS_YEAR,ANALYSIS_YEAR
10439,Jarvis,JAR-01050,Forereef,-0.377444,-159.97828,6.35,Shallow,4/4/17,2017,2017
10411,Jarvis,JAR-01051,Forereef,-0.381254,-160.010531,5.1,Shallow,3/4/17,2017,2017
10405,Jarvis,JAR-01052,Forereef,-0.372027,-160.011727,14,Mid,2/4/17,2017,2017
10414,Jarvis,JAR-01053,Forereef,-0.381588,-159.984821,5.45,Shallow,3/4/17,2017,2017
10408,Jarvis,JAR-01054,Forereef,-0.378737,-160.015472,12.35,Mid,2/4/17,2017,2017
10407,Jarvis,JAR-01055,Forereef,-0.365279,-160.006139,13.5,Mid,2/4/17,2017,2017
10454,Jarvis,JAR-01058,Forereef,-0.364657,-159.984343,12.85,Shallow,5/4/17,2017,2017
10451,Jarvis,JAR-01059,Forereef,-0.380156,-159.972721,9.65,Mid,5/4/17,2017,2017
10438,Jarvis,JAR-01063,Forereef,-0.382476,-159.973532,19.3,Mid,4/4/17,2017,2017
10410,Jarvis,JAR-01064,Forereef,-0.379937,-160.015654,20,Deep,3/4/17,2017,2017
10453,Jarvis,JAR-01067,Forereef,-0.374029,-159.972762,21.8,Deep,5/4/17,2017,2017
12242,Jarvis,JAR-01793,Forereef,-0.362887,-160.004638,19.7,Deep,7/29/2018,2018,2018
12296,Jarvis,JAR-01794,Forereef,-0.376773,-159.971695,23.7,Deep,7/31/2018,2018,2018
12295,Jarvis,JAR-01797,Forereef,-0.380288,-160.01521,19.4,Deep,7/31/2018,2018,2018
12224,Jarvis,JAR-01801,Forereef,-0.374053,-160.012851,21.6,Deep,7/28/2018,2018,2018
12284,Jarvis,JAR-01802,Forereef,-0.382607,-159.981181,26.75,Deep,7/30/2018,2018,2018
12236,Jarvis,JAR-01803,Forereef,-0.36261,-159.992582,25.3,Deep,7/29/2018,2018,2018
12218,Jarvis,JAR-01805,Forereef,-0.381006,-160.013695,20.65,Deep,7/28/2018,2018,2018
12282,Jarvis,JAR-01806,Forereef,-0.38206,-160.002187,8.8,Mid,7/30/2018,2018,2018
12219,Jarvis,JAR-01807,Forereef,-0.381499,-160.007448,7.45,Mid,7/28/2018,2018,2018
12245,Jarvis,JAR-01809,Forereef,-0.373745,-159.978199,9.7,Mid,7/29/2018,2018,2018
12237,Jarvis,JAR-01810,Forereef,-0.362158,-159.997366,11,Mid,7/29/2018,2018,2018
12220,Jarvis,JAR-01813,Forereef,-0.381891,-159.988001,11.7,Mid,7/28/2018,2018,2018
12297,Jarvis,JAR-01814,Forereef,-0.375695,-159.976467,8.3,Mid,7/31/2018,2018,2018
12279,Jarvis,JAR-01815,Forereef,-0.372014,-159.974928,10.65,Mid,7/30/2018,2018,2018
12294,Jarvis,JAR-01816,Forereef,-0.371975,-160.011699,12.5,Mid,7/31/2018,2018,2018
12225,Jarvis,JAR-01817,Forereef,-0.36472,-160.005902,17.1,Mid,7/28/2018,2018,2018
